,win-defeat,physical,role,named,part-of,related-to,opposite,temporal,general-affiliation,artifact,social,origin,type-of,topic,compare,usage,cause-effect
news,0.028571428571428,-0.27906976744186107,0.24305555555555602,0.25,0.035714285714285005,0.833333333333333,-0.025641025641025002,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
politics,0.024390243902439,-0.08068459657701699,0.028742514970060085,0.07692307692307698,0.119658119658119,0.039473684210526,0.0,0.03257328990228103,0.06451612903225801,-0.5,-0.047619047619047006,-0.03636363636363601,0.035714285714285005,0.0,0.0,0.0,0.0
music,-0.021505376344086002,-0.019184652278177006,-0.20316622691292896,0.19277108433734902,0.130681818181818,0.115384615384615,0.0,0.08333333333333304,0.006925207756233065,0.03861003861003798,0.0,0.21052631578947406,0.07563025210084007,0.0,0.0,0.05769230769230799,0.0
science,0.09090909090909094,-0.11607142857142905,0.031468531468531014,0.13888888888888906,0.111111111111111,0.039682539682539986,0.0,0.0,0.36986301369863006,0.0,0.07142857142857201,-0.11702127659574396,0.017094017094017,-0.10606060606060602,0.17948717948718002,0.0,0.0
literature,0.12371134020618602,-0.074712643678161,-0.08695652173912993,0.07446808510638303,0.07291666666666699,0.138888888888889,0.07142857142857101,0.03448275862069006,0.012195121951219967,0.13333333333333386,0.06382978723404198,0.10638297872340402,-0.055555555555556024,0.023809523809523003,0.0,0.0,0.0
ai,0.42857142857142905,-0.029411764705883026,-0.009174311926606005,-0.02158273381294995,-0.04672897196261694,0.21296296296296308,-0.09090909090909101,0.14285714285714302,0.026666666666667005,0.268292682926829,0.0,-0.011235955056180025,0.24074074074074003,0.04878048780487801,0.0,0.0,0.0
